State,Population,Year
Arkansas,2989918,7/1/16
Arkansas,3001345,7/1/17
Arkansas,3009733,7/1/18
Arkansas,3017804,7/1/19
Arkansas,3108338,7/1/20
California,32968338,7/1/99
California,33987977,7/1/00
California,34479458,7/1/01
California,34871843,7/1/02
California,35253159,7/1/03
California,35574576,7/1/04
California,35827943,7/1/05
California,36021202,7/1/06
California,36250311,7/1/07
California,36604337,7/1/08
California,36961229,7/1/09
California,37319502,7/1/10
California,37638369,7/1/11
California,37948800,7/1/12
California,38260787,7/1/13
California,38596972,7/1/14
California,38918045,7/1/15
California,39167117,7/1/16
California,39358497,7/1/17
California,39461588,7/1/18
California,39512223,7/1/19
California,40697590,7/1/20
Colorado,4197113,7/1/99
Colorado,4326921,7/1/00
Colorado,4425687,7/1/01
Colorado,4490406,7/1/02
Colorado,4528732,7/1/03
Colorado,4575013,7/1/04
Colorado,4631888,7/1/05
Colorado,4720423,7/1/06
Colorado,4803868,7/1/07
Colorado,4889730,7/1/08
Colorado,4972195,7/1/09
Colorado,5047349,7/1/10
Colorado,5121108,7/1/11
Colorado,5192647,7/1/12
Colorado,5269035,7/1/13
Colorado,5350101,7/1/14
Colorado,5450623,7/1/15
Colorado,5539215,7/1/16
Colorado,5611885,7/1/17
Colorado,5691287,7/1/18
Colorado,5758736,7/1/19
Colorado,5931498,7/1/20
Connecticut,3309424,7/1/99
Connecticut,3411777,7/1/00
Connecticut,3432835,7/1/01
Connecticut,3458749,7/1/02
Connecticut,3484336,7/1/03
Connecticut,3496094,7/1/04
Connecticut,3506956,7/1/05
Connecticut,3517460,7/1/06
Connecticut,3527270,7/1/07
Connecticut,3545579,7/1/08
Connecticut,3561807,7/1/09
Connecticut,3579114,7/1/10
Connecticut,3588283,7/1/11
Connecticut,3594547,7/1/12
Connecticut,3594841,7/1/13
Connecticut,3594524,7/1/14
Connecticut,3587122,7/1/15
Connecticut,3578141,7/1/16
Connecticut,3573297,7/1/17
Connecticut,3571520,7/1/18
Connecticut,3565287,7/1/19
Connecticut,3672246,7/1/20
Delaware,762782,7/1/99
Delaware,786373,7/1/00
Delaware,795699,7/1/01
Delaware,806169,7/1/02
Delaware,818003,7/1/03
Delaware,830803,7/1/04
Delaware,845150,7/1/05
Delaware,859268,7/1/06
Delaware,871749,7/1/07
Delaware,883874,7/1/08
Delaware,891730,7/1/09
Delaware,899593,7/1/10
Delaware,907381,7/1/11
Delaware,915179,7/1/12
Delaware,923576,7/1/13
Delaware,932487,7/1/14
Delaware,941252,7/1/15
Delaware,948921,7/1/16
Delaware,956823,7/1/17
Delaware,965479,7/1/18
Delaware,973764,7/1/19
Delaware,1002977,7/1/20
District of Columbia,554885,7/1/99
District of Columbia,572046,7/1/00
District of Columbia,574504,7/1/01
District of Columbia,573158,7/1/02
District of Columbia,568502,7/1/03
District of Columbia,567754,7/1/04
District of Columbia,567136,7/1/05
District of Columbia,570681,7/1/06
District of Columbia,574404,7/1/07
District of Columbia,580236,7/1/08
District of Columbia,592228,7/1/09
District of Columbia,605226,7/1/10
District of Columbia,619800,7/1/11
District of Columbia,634924,7/1/12
District of Columbia,650581,7/1/13
District of Columbia,662328,7/1/14
District of Columbia,675400,7/1/15
District of Columbia,685815,7/1/16
District of Columbia,694906,7/1/17
District of Columbia,701547,7/1/18
District of Columbia,705749,7/1/19
District of Columbia,726921,7/1/20
Florida,15566090,7/1/99
Florida,16047515,7/1/00
Florida,16356966,7/1/01
Florida,16689370,7/1/02
Florida,17004085,7/1/03
Florida,17415318,7/1/04
Florida,17842038,7/1/05
Florida,18166990,7/1/06
Florida,18367842,7/1/07
Florida,18527305,7/1/08
Florida,18652644,7/1/09
Florida,18845537,7/1/10
Florida,19053237,7/1/11
Florida,19297822,7/1/12
Florida,19545621,7/1/13
Florida,19845911,7/1/14
Florida,20209042,7/1/15
Florida,20613477,7/1/16
Florida,20963613,7/1/17
Florida,21244317,7/1/18
Florida,21477737,7/1/19
Florida,22122069,7/1/20
Georgia,7980484,7/1/99
Georgia,8227303,7/1/00
Georgia,8377038,7/1/01
Georgia,8508256,7/1/02
Georgia,8622793,7/1/03
Georgia,8769252,7/1/04
Georgia,8925922,7/1/05
Georgia,9155813,7/1/06
Georgia,9349988,7/1/07
Georgia,9504843,7/1/08
Georgia,9620846,7/1/09
Georgia,9711881,7/1/10
Georgia,9802431,7/1/11
Georgia,9901430,7/1/12
Georgia,9972479,7/1/13
Georgia,10067278,7/1/14
Georgia,10178447,7/1/15
Georgia,10301890,7/1/16
Georgia,10410330,7/1/17
Georgia,10511131,7/1/18
Georgia,10617423,7/1/19
Georgia,10935946,7/1/20
Hawaii,1177113,7/1/99
Hawaii,1213519,7/1/00
Hawaii,1225948,7/1/01
Hawaii,1239613,7/1/02
Hawaii,1251154,7/1/03
Hawaii,1273569,7/1/04
Hawaii,1292729,7/1/05
Hawaii,1309731,7/1/06
Hawaii,1315675,7/1/07
Hawaii,1332213,7/1/08
Hawaii,1346717,7/1/09
Hawaii,1363963,7/1/10
Hawaii,1379329,7/1/11
Hawaii,1394804,7/1/12
Hawaii,1408243,7/1/13
Hawaii,1414538,7/1/14
Hawaii,1422052,7/1/15
Hawaii,1427559,7/1/16
Hawaii,1424393,7/1/17
Hawaii,1420593,7/1/18
Hawaii,1415872,7/1/19
Hawaii,1458348,7/1/20
Idaho,1260447,7/1/99
Idaho,1299430,7/1/00
Idaho,1319962,7/1/01
Idaho,1340372,7/1/02
Idaho,1363380,7/1/03
Idaho,1391802,7/1/04
Idaho,1428241,7/1/05
Idaho,1468669,7/1/06
Idaho,1505105,7/1/07
Idaho,1534320,7/1/08
Idaho,1554439,7/1/09
Idaho,1570746,7/1/10
Idaho,1583910,7/1/11
Idaho,1595324,7/1/12
Idaho,1611206,7/1/13
Idaho,1631112,7/1/14
Idaho,1651059,7/1/15
Idaho,1682380,7/1/16
Idaho,1717715,7/1/17
Idaho,1750536,7/1/18
Idaho,1787065,7/1/19
Idaho,1840677,7/1/20
Illinois,12061136,7/1/99
Illinois,12434161,7/1/00
Illinois,12488445,7/1/01
Illinois,12525556,7/1/02
Illinois,12556006,7/1/03
Illinois,12589773,7/1/04
Illinois,12609903,7/1/05
Illinois,12643955,7/1/06
Illinois,12695866,7/1/07
Illinois,12747038,7/1/08
Illinois,12796778,7/1/09
Illinois,12840503,7/1/10
Illinois,12867454,7/1/11
Illinois,12882510,7/1/12
Illinois,12895129,7/1/13
Illinois,12884493,7/1/14
Illinois,12858913,7/1/15
Illinois,12820527,7/1/16
Illinois,12778828,7/1/17
Illinois,12723071,7/1/18
Illinois,12671821,7/1/19
Illinois,13051976,7/1/20
Indiana,5909110,7/1/99
Indiana,6091866,7/1/00
Indiana,6127760,7/1/01
Indiana,6155967,7/1/02
Indiana,6196638,7/1/03
Indiana,6233007,7/1/04
Indiana,6278616,7/1/05
Indiana,6332669,7/1/06
Indiana,6379599,7/1/07
Indiana,6424806,7/1/08
Indiana,6459325,7/1/09
Indiana,6490432,7/1/10
Indiana,6516528,7/1/11
Indiana,6537703,7/1/12
Indiana,6568713,7/1/13
Indiana,6593644,7/1/14
Indiana,6608422,7/1/15
Indiana,6634304,7/1/16
Indiana,6658078,7/1/17
Indiana,6695497,7/1/18
Indiana,6732219,7/1/19
Indiana,6934186,7/1/20
Iowa,2841195,7/1/99
Iowa,2929067,7/1/00
Iowa,2931997,7/1/01
Iowa,2934234,7/1/02
Iowa,2941999,7/1/03
Iowa,2953635,7/1/04
Iowa,2964454,7/1/05
Iowa,2982644,7/1/06
Iowa,2999212,7/1/07
Iowa,3016734,7/1/08
Iowa,3032870,7/1/09
Iowa,3050745,7/1/10
Iowa,3066336,7/1/11
Iowa,3076190,7/1/12
Iowa,3092997,7/1/13
Iowa,3109350,7/1/14
Iowa,3120960,7/1/15
Iowa,3131371,7/1/16
Iowa,3141550,7/1/17
Iowa,3148618,7/1/18
Iowa,3155070,7/1/19
Iowa,3249722,7/1/20
Kansas,2612871,7/1/99
Kansas,2693681,7/1/00
Kansas,2702162,7/1/01
Kansas,2713535,7/1/02
Kansas,2723004,7/1/03
Kansas,2734373,7/1/04
Kansas,2745299,7/1/05
Kansas,2762931,7/1/06
Kansas,2783785,7/1/07
Kansas,2808076,7/1/08
Kansas,2832704,7/1/09
Kansas,2858190,7/1/10
Kansas,2869225,7/1/11
Kansas,2885257,7/1/12
Kansas,2893212,7/1/13
Kansas,2900475,7/1/14
Kansas,2909011,7/1/15
Kansas,2910844,7/1/16
Kansas,2908718,7/1/17
Kansas,2911359,7/1/18
Kansas,2913314,7/1/19
Kansas,3000713,7/1/20
Kentucky,3927550,7/1/99
Kentucky,4049021,7/1/00
Kentucky,4068132,7/1/01
Kentucky,4089875,7/1/02
Kentucky,4117170,7/1/03
Kentucky,4146101,7/1/04
Kentucky,4182742,7/1/05
Kentucky,4219239,7/1/06
Kentucky,4256672,7/1/07
Kentucky,4289878,7/1/08
Kentucky,4317074,7/1/09
Kentucky,4348181,7/1/10
Kentucky,4369821,7/1/11
Kentucky,4386346,7/1/12
Kentucky,4404659,7/1/13
Kentucky,4414349,7/1/14
Kentucky,4425976,7/1/15
Kentucky,4438182,7/1/16
Kentucky,4452268,7/1/17
Kentucky,4461153,7/1/18
Kentucky,4467673,7/1/19
Kentucky,4601703,7/1/20
Louisiana,4337728,7/1/99
Louisiana,4471885,7/1/00
Louisiana,4477875,7/1/01
Louisiana,4497267,7/1/02
Louisiana,4521042,7/1/03
Louisiana,4552238,7/1/04
Louisiana,4576628,7/1/05
Louisiana,4302665,7/1/06
Louisiana,4375581,7/1/07
Louisiana,4435586,7/1/08
Louisiana,4491648,7/1/09
Louisiana,4544532,7/1/10
Louisiana,4575625,7/1/11
Louisiana,4600972,7/1/12
Louisiana,4624527,7/1/13
Louisiana,4644013,7/1/14
Louisiana,4664628,7/1/15
Louisiana,4678135,7/1/16
Louisiana,4670560,7/1/17
Louisiana,4659690,7/1/18
Louisiana,4648794,7/1/19
Louisiana,4788258,7/1/20
Maine,1238760,7/1/99
Maine,1277072,7/1/00
Maine,1285692,7/1/01
Maine,1295960,7/1/02
Maine,1306513,7/1/03
Maine,1313688,7/1/04
Maine,1318787,7/1/05
Maine,1323619,7/1/06
Maine,1327040,7/1/07
Maine,1330509,7/1/08
Maine,1329590,7/1/09
Maine,1327629,7/1/10
Maine,1328284,7/1/11
Maine,1327729,7/1/12
Maine,1328009,7/1/13
Maine,1330513,7/1/14
Maine,1328262,7/1/15
Maine,1331317,7/1/16
Maine,1334612,7/1/17
Maine,1339057,7/1/18
Maine,1344212,7/1/19
Maine,1384538,7/1/20
Maryland,5151703,7/1/99
Maryland,5311034,7/1/00
Maryland,5374691,7/1/01
Maryland,5440389,7/1/02
Maryland,5496269,7/1/03
Maryland,5546935,7/1/04
Maryland,5592379,7/1/05
Maryland,5627367,7/1/06
Maryland,5653408,7/1/07
Maryland,5684965,7/1/08
Maryland,5730388,7/1/09
Maryland,5788645,7/1/10
Maryland,5839419,7/1/11
Maryland,5886992,7/1/12
Maryland,5923188,7/1/13
Maryland,5957283,7/1/14
Maryland,5985562,7/1/15
Maryland,6003323,7/1/16
Maryland,6023868,7/1/17
Maryland,6035802,7/1/18
Maryland,6045680,7/1/19
Maryland,6227050,7/1/20
Massachusetts,6170271,7/1/99
Massachusetts,6361104,7/1/00
Massachusetts,6397634,7/1/01
Massachusetts,6417206,7/1/02
Massachusetts,6422565,7/1/03
Massachusetts,6412281,7/1/04
Massachusetts,6403290,7/1/05
Massachusetts,6410084,7/1/06
Massachusetts,6431559,7/1/07
Massachusetts,6468967,7/1/08
Massachusetts,6517613,7/1/09
Massachusetts,6566307,7/1/10
Massachusetts,6613583,7/1/11
Massachusetts,6663005,7/1/12
Massachusetts,6713315,7/1/13
Massachusetts,6762596,7/1/14
Massachusetts,6794228,7/1/15
Massachusetts,6823608,7/1/16
Massachusetts,6859789,7/1/17
Massachusetts,6882635,7/1/18
Massachusetts,6892503,7/1/19
Massachusetts,7099278,7/1/20
Michigan,9653877,7/1/99
Michigan,9952450,7/1/00
Michigan,9991120,7/1/01
Michigan,10015710,7/1/02
Michigan,10041152,7/1/03
Michigan,10055315,7/1/04
Michigan,10051137,7/1/05
Michigan,10036081,7/1/06
Michigan,10001284,7/1/07
Michigan,9946889,7/1/08
Michigan,9901591,7/1/09
Michigan,9877510,7/1/10
Michigan,9882412,7/1/11
Michigan,9897145,7/1/12
Michigan,9913065,7/1/13
Michigan,9929848,7/1/14
Michigan,9931715,7/1/15
Michigan,9950571,7/1/16
Michigan,9973114,7/1/17
Michigan,9984072,7/1/18
Michigan,9986857,7/1/19
Michigan,10286463,7/1/20
Minnesota,4785681,7/1/99
Minnesota,4933692,7/1/00
Minnesota,4982796,7/1/01
Minnesota,5018935,7/1/02
Minnesota,5053572,7/1/03
Minnesota,5087713,7/1/04
Minnesota,5119598,7/1/05
Minnesota,5163555,7/1/06
Minnesota,5207203,7/1/07
Minnesota,5247018,7/1/08
Minnesota,5281203,7/1/09
Minnesota,5310828,7/1/10
Minnesota,5346143,7/1/11
Minnesota,5376643,7/1/12
Minnesota,5413479,7/1/13
Minnesota,5451079,7/1/14
Minnesota,5482032,7/1/15
Minnesota,5522744,7/1/16
Minnesota,5566230,7/1/17
Minnesota,5606249,7/1/18
Minnesota,5639632,7/1/19
Minnesota,5808821,7/1/20
Mississippi,2762902,7/1/99
Mississippi,2848353,7/1/00
Mississippi,2852994,7/1/01
Mississippi,2858681,7/1/02
Mississippi,2868312,7/1/03
Mississippi,2889010,7/1/04
Mississippi,2905943,7/1/05
Mississippi,2904978,7/1/06
Mississippi,2928350,7/1/07
Mississippi,2947806,7/1/08
Mississippi,2958774,7/1/09
Mississippi,2970548,7/1/10
Mississippi,2978731,7/1/11
Mississippi,2983816,7/1/12
Mississippi,2988711,7/1/13
Mississippi,2990468,7/1/14
Mississippi,2988471,7/1/15
Mississippi,2987938,7/1/16
Mississippi,2988510,7/1/17
Mississippi,2981020,7/1/18
Mississippi,2976149,7/1/19
Mississippi,3065433,7/1/20
Missouri,5439066,7/1/99
Missouri,5607285,7/1/00
Missouri,5641142,7/1/01
Missouri,5674825,7/1/02
Missouri,5709403,7/1/03
Missouri,5747741,7/1/04
Missouri,5790300,7/1/05
Missouri,5842704,7/1/06
Missouri,5887612,7/1/07
Missouri,5923916,7/1/08
Missouri,5961088,7/1/09
Missouri,5995974,7/1/10
Missouri,6010275,7/1/11
Missouri,6024367,7/1/12
Missouri,6040715,7/1/13
Missouri,6056202,7/1/14
Missouri,6071732,7/1/15
Missouri,6087135,7/1/16
Missouri,6106670,7/1/17
Missouri,6121623,7/1/18
Missouri,6137428,7/1/19
Missouri,6321551,7/1/20
Montana,876660,7/1/99
Montana,903773,7/1/00
Montana,906961,7/1/01
Montana,911667,7/1/02
Montana,919630,7/1/03
Montana,930009,7/1/04
Montana,940102,7/1/05
Montana,952692,7/1/06
Montana,964706,7/1/07
Montana,976415,7/1/08
Montana,983982,7/1/09
Montana,990697,7/1/10
Montana,997316,7/1/11
Montana,1003783,7/1/12
Montana,1013569,7/1/13
Montana,1021869,7/1/14
Montana,1030475,7/1/15
Montana,1040859,7/1/16
Montana,1052482,7/1/17
Montana,1060665,7/1/18
Montana,1068778,7/1/19
Montana,1100841,7/1/20
Nebraska,1662405,7/1/99
Nebraska,1713820,7/1/00
Nebraska,1719836,7/1/01
Nebraska,1728292,7/1/02
Nebraska,1738643,7/1/03
Nebraska,1749370,7/1/04
Nebraska,1761497,7/1/05
Nebraska,1772693,7/1/06
Nebraska,1783440,7/1/07
Nebraska,1796378,7/1/08
Nebraska,1812683,7/1/09
Nebraska,1829542,7/1/10
Nebraska,1840672,7/1/11
Nebraska,1853303,7/1/12
Nebraska,1865279,7/1/13
Nebraska,1879321,7/1/14
Nebraska,1891277,7/1/15
Nebraska,1905616,7/1/16
Nebraska,1915947,7/1/17
Nebraska,1925614,7/1/18
Nebraska,1934408,7/1/19
Nebraska,1992440,7/1/20
Nevada,1958179,7/1/99
Nevada,2018741,7/1/00
Nevada,2098399,7/1/01
Nevada,2173791,7/1/02
Nevada,2248850,7/1/03
Nevada,2346222,7/1/04
Nevada,2432143,7/1/05
Nevada,2522658,7/1/06
Nevada,2601072,7/1/07
Nevada,2653630,7/1/08
Nevada,2684665,7/1/09
Nevada,2702405,7/1/10
Nevada,2712730,7/1/11
Nevada,2743996,7/1/12
Nevada,2775970,7/1/13
Nevada,2817628,7/1/14
Nevada,2866939,7/1/15
Nevada,2917563,7/1/16
Nevada,2969905,7/1/17
Nevada,3027341,7/1/18
Nevada,3080156,7/1/19
Nevada,3172561,7/1/20
New Hampshire,1202686,7/1/99
New Hampshire,1239882,7/1/00
New Hampshire,1255517,7/1/01
New Hampshire,1269089,7/1/02
New Hampshire,1279840,7/1/03
New Hampshire,1290121,7/1/04
New Hampshire,1298492,7/1/05
New Hampshire,1308389,7/1/06
New Hampshire,1312540,7/1/07
New Hampshire,1315906,7/1/08
New Hampshire,1316102,7/1/09
New Hampshire,1316762,7/1/10
New Hampshire,1320202,7/1/11
New Hampshire,1324232,7/1/12
New Hampshire,1326622,7/1/13
New Hampshire,1333341,7/1/14
New Hampshire,1336350,7/1/15
New Hampshire,1342307,7/1/16
New Hampshire,1348787,7/1/17
New Hampshire,1353465,7/1/18
New Hampshire,1359711,7/1/19
New Hampshire,1400502,7/1/20
New Jersey,8177702,7/1/99
New Jersey,8430621,7/1/00
New Jersey,8492671,7/1/01
New Jersey,8552643,7/1/02
New Jersey,8601402,7/1/03
New Jersey,8634561,7/1/04
New Jersey,8651974,7/1/05
New Jersey,8661679,7/1/06
New Jersey,8677885,7/1/07
New Jersey,8711090,7/1/08
New Jersey,8755602,7/1/09
New Jersey,8799446,7/1/10
New Jersey,8828117,7/1/11
New Jersey,8844942,7/1/12
New Jersey,8856972,7/1/13
New Jersey,8864525,7/1/14
New Jersey,8867949,7/1/15
New Jersey,8870827,7/1/16
New Jersey,8885525,7/1/17
New Jersey,8886025,7/1/18
New Jersey,8882190,7/1/19
New Jersey,9148656,7/1/20
New Mexico,1766568,7/1/99
New Mexico,1821204,7/1/00
New Mexico,1831690,7/1/01
New Mexico,1855309,7/1/02
New Mexico,1877574,7/1/03
New Mexico,1903808,7/1/04
New Mexico,1932274,7/1/05
New Mexico,1962137,7/1/06
New Mexico,1990070,7/1/07
New Mexico,2010662,7/1/08
New Mexico,2036802,7/1/09
New Mexico,2064552,7/1/10
New Mexico,2080450,7/1/11
New Mexico,2087309,7/1/12
New Mexico,2092273,7/1/13
New Mexico,2089568,7/1/14
New Mexico,2089291,7/1/15
New Mexico,2091630,7/1/16
New Mexico,2091784,7/1/17
New Mexico,2092741,7/1/18
New Mexico,2096829,7/1/19
New Mexico,2159734,7/1/20
New York,18431727,7/1/99
New York,19001780,7/1/00
New York,19082838,7/1/01
New York,19137800,7/1/02
New York,19175939,7/1/03
New York,19171567,7/1/04
New York,19132610,7/1/05
New York,19104631,7/1/06
New York,19132335,7/1/07
New York,19212436,7/1/08
New York,19307066,7/1/09
New York,19399878,7/1/10
New York,19499241,7/1/11
New York,19572932,7/1/12
New York,19624447,7/1/13
New York,19651049,7/1/14
New York,19654666,7/1/15
New York,19633428,7/1/16
New York,19589572,7/1/17
New York,19530351,7/1/18
New York,19453561,7/1/19
New York,20037168,7/1/20
North Carolina,7839166,7/1/99
North Carolina,8081614,7/1/00
North Carolina,8210122,7/1/01
North Carolina,8326201,7/1/02
North Carolina,8422501,7/1/03
North Carolina,8553152,7/1/04
North Carolina,8705407,7/1/05
North Carolina,8917270,7/1/06
North Carolina,9118037,7/1/07
North Carolina,9309449,7/1/08
North Carolina,9449566,7/1/09
North Carolina,9574323,7/1/10
North Carolina,9657592,7/1/11
North Carolina,9749476,7/1/12
North Carolina,9843336,7/1/13
North Carolina,9932887,7/1/14
North Carolina,10031646,7/1/15
North Carolina,10154788,7/1/16
North Carolina,10268233,7/1/17
North Carolina,10381615,7/1/18
North Carolina,10488084,7/1/19
North Carolina,10802727,7/1/20
North Dakota,622762,7/1/99
North Dakota,642023,7/1/00
North Dakota,639062,7/1/01
North Dakota,638168,7/1/02
North Dakota,638817,7/1/03
North Dakota,644705,7/1/04
North Dakota,646089,7/1/05
North Dakota,649422,7/1/06
North Dakota,652822,7/1/07
North Dakota,657569,7/1/08
North Dakota,664968,7/1/09
North Dakota,674715,7/1/10
North Dakota,685225,7/1/11
North Dakota,701176,7/1/12
North Dakota,722036,7/1/13
North Dakota,737401,7/1/14
North Dakota,754066,7/1/15
North Dakota,754434,7/1/16
North Dakota,754942,7/1/17
North Dakota,758080,7/1/18
North Dakota,762062,7/1/19
North Dakota,784924,7/1/20
Ohio,11022637,7/1/99
Ohio,11363543,7/1/00
Ohio,11387404,7/1/01
Ohio,11407889,7/1/02
Ohio,11434788,7/1/03
Ohio,11452251,7/1/04
Ohio,11463320,7/1/05
Ohio,11481213,7/1/06
Ohio,11500468,7/1/07
Ohio,11515391,7/1/08
Ohio,11528896,7/1/09
Ohio,11539336,7/1/10
Ohio,11544663,7/1/11
Ohio,11548923,7/1/12
Ohio,11576684,7/1/13
Ohio,11602700,7/1/14
Ohio,11617527,7/1/15
Ohio,11634370,7/1/16
Ohio,11659650,7/1/17
Ohio,11676341,7/1/18
Ohio,11689100,7/1/19
Ohio,12039773,7/1/20
Oklahoma,3350734,7/1/99
Oklahoma,3454365,7/1/00
Oklahoma,3467100,7/1/01
Oklahoma,3489080,7/1/02
Oklahoma,3504892,7/1/03
Oklahoma,3525233,7/1/04
Oklahoma,3548597,7/1/05
Oklahoma,3594090,7/1/06
Oklahoma,3634349,7/1/07
Oklahoma,3668976,7/1/08
Oklahoma,3717572,7/1/09
Oklahoma,3759944,7/1/10
Oklahoma,3788379,7/1/11
Oklahoma,3818814,7/1/12
Oklahoma,3853214,7/1/13
Oklahoma,3878187,7/1/14
Oklahoma,3909500,7/1/15
Oklahoma,3926331,7/1/16
Oklahoma,3931316,7/1/17
Oklahoma,3940235,7/1/18
Oklahoma,3956971,7/1/19
Oklahoma,4075680,7/1/20
Oregon,3326817,7/1/99
Oregon,3429708,7/1/00
Oregon,3467937,7/1/01
Oregon,3513424,7/1/02
Oregon,3547376,7/1/03
Oregon,3569463,7/1/04
Oregon,3613202,7/1/05
Oregon,3670883,7/1/06
Oregon,3722417,7/1/07
Oregon,3768748,7/1/08
Oregon,3808600,7/1/09
Oregon,3837491,7/1/10
Oregon,3872036,7/1/11
Oregon,3899001,7/1/12
Oregon,3922468,7/1/13
Oregon,3963244,7/1/14
Oregon,4015792,7/1/15
Oregon,4089976,7/1/16
Oregon,4143625,7/1/17
Oregon,4181886,7/1/18
Oregon,4217737,7/1/19
Oregon,4344269,7/1/20
Pennsylvania,11915648,7/1/99
Pennsylvania,12284173,7/1/00
Pennsylvania,12298970,7/1/01
Pennsylvania,12331031,7/1/02
Pennsylvania,12374658,7/1/03
Pennsylvania,12410722,7/1/04
Pennsylvania,12449990,7/1/05
Pennsylvania,12510809,7/1/06
Pennsylvania,12563937,7/1/07
Pennsylvania,12612285,7/1/08
Pennsylvania,12666858,7/1/09
Pennsylvania,12711160,7/1/10
Pennsylvania,12745815,7/1/11
Pennsylvania,12767118,7/1/12
Pennsylvania,12776309,7/1/13
Pennsylvania,12788313,7/1/14
Pennsylvania,12784826,7/1/15
Pennsylvania,12782275,7/1/16
Pennsylvania,12787641,7/1/17
Pennsylvania,12800922,7/1/18
Pennsylvania,12801989,7/1/19
Pennsylvania,13186049,7/1/20
Rhode Island,1018760,7/1/99
Rhode Island,1050268,7/1/00
Rhode Island,1057142,7/1/01
Rhode Island,1065995,7/1/02
Rhode Island,1071342,7/1/03
Rhode Island,1074579,7/1/04
Rhode Island,1067916,7/1/05
Rhode Island,1063096,7/1/06
Rhode Island,1057315,7/1/07
Rhode Island,1055003,7/1/08
Rhode Island,1053646,7/1/09
Rhode Island,1053959,7/1/10
Rhode Island,1053649,7/1/11
Rhode Island,1054621,7/1/12
Rhode Island,1055081,7/1/13
Rhode Island,1055936,7/1/14
Rhode Island,1056065,7/1/15
Rhode Island,1056770,7/1/16
Rhode Island,1055673,7/1/17
Rhode Island,1058287,7/1/18
Rhode Island,1059361,7/1/19
Rhode Island,1091142,7/1/20
South Carolina,3903496,7/1/99
South Carolina,4024223,7/1/00
South Carolina,4064995,7/1/01
South Carolina,4107795,7/1/02
South Carolina,4150297,7/1/03
South Carolina,4210921,7/1/04
South Carolina,4270150,7/1/05
South Carolina,4357847,7/1/06
South Carolina,4444110,7/1/07
South Carolina,4528996,7/1/08
South Carolina,4589872,7/1/09
South Carolina,4635649,7/1/10
South Carolina,4671994,7/1/11
South Carolina,4717354,7/1/12
South Carolina,4764080,7/1/13
South Carolina,4823617,7/1/14
South Carolina,4891938,7/1/15
South Carolina,4957968,7/1/16
South Carolina,5021268,7/1/17
South Carolina,5084156,7/1/18
South Carolina,5148714,7/1/19
South Carolina,5303175,7/1/20
South Dakota,733169,7/1/99
South Dakota,755844,7/1/00
South Dakota,757972,7/1/01
South Dakota,760020,7/1/02
South Dakota,763729,7/1/03
South Dakota,770396,7/1/04
South Dakota,775493,7/1/05
South Dakota,783033,7/1/06
South Dakota,791623,7/1/07
South Dakota,799124,7/1/08
South Dakota,807067,7/1/09
South Dakota,816166,7/1/10
South Dakota,823579,7/1/11
South Dakota,833566,7/1/12
South Dakota,842316,7/1/13
South Dakota,849129,7/1/14
